origin,destination,18-01-20,19-01-20,20-01-20,21-01-20,22-01-20,23-01-20,24-01-20,25-01-20,26-01-20,27-01-20,28-01-20,29-01-20,30-01-20,31-01-20,01-02-20,02-02-20,03-02-20,04-02-20,05-02-20,06-02-20,07-02-20,08-02-20,09-02-20,10-02-20,11-02-20,12-02-20,13-02-20,14-02-20,15-02-20,16-02-20,17-02-20,18-02-20,19-02-20,20-02-20,21-02-20,22-02-20,23-02-20,24-02-20,25-02-20,26-02-20,27-02-20,28-02-20,29-02-20,01-03-20,02-03-20,03-03-20,04-03-20,05-03-20,06-03-20,07-03-20,08-03-20,09-03-20,10-03-20,11-03-20,12-03-20,13-03-20,14-03-20,15-03-20,16-03-20,17-03-20,18-03-20,19-03-20,20-03-20,21-03-20,22-03-20,23-03-20,24-03-20,25-03-20,26-03-20,27-03-20,28-03-20,29-03-20,30-03-20,31-03-20,01-04-20,02-04-20,03-04-20,04-04-20,05-04-20,06-04-20,07-04-20,08-04-20,09-04-20,10-04-20,11-04-20,12-04-20,13-04-20,14-04-20,15-04-20,16-04-20,17-04-20,18-04-20,19-04-20,20-04-20,21-04-20,22-04-20,23-04-20,24-04-20,25-04-20,26-04-20,27-04-20,28-04-20,29-04-20,30-04-20,01-05-20,02-05-20,03-05-20,04-05-20,05-05-20,06-05-20,07-05-20,08-05-20,09-05-20,10-05-20,11-05-20,12-05-20,13-05-20,14-05-20,15-05-20,16-05-20,17-05-20,18-05-20,19-05-20,20-05-20,21-05-20,22-05-20,23-05-20,24-05-20,25-05-20,26-05-20,27-05-20,28-05-20,29-05-20,30-05-20,31-05-20,01-06-20,02-06-20,03-06-20,04-06-20,05-06-20,06-06-20,07-06-20,08-06-20,09-06-20,10-06-20,11-06-20,12-06-20,13-06-20,14-06-20,15-06-20,16-06-20,17-06-20,18-06-20,19-06-20,20-06-20,21-06-20,22-06-20,23-06-20,24-06-20,25-06-20,26-06-20
1,1,0.9276,0.9076,0.929,0.9297,0.925,0.9265,0.9215,0.9237,0.9151,0.9256,0.9297,0.9373,0.9208,0.9139,0.9169,0.9151,0.9311,0.933,0.9237,0.9197,0.9154,0.9222,0.9183,0.9375,0.93,0.9262,0.923,0.9157,0.9192,0.9167,0.9262,0.9309,0.9229,0.913,0.9136,0.9216,0.9262,0.9354,0.9329,0.9404,0.9419,0.9302,0.9399,0.9372,0.944,0.9289,0.9248,0.9386,0.922,0.9333,0.9429,0.9541,0.9562,0.958,0.9601,0.9716,0.9871,0.9891,0.9717,0.9795,0.9725,0.9759,0.9733,0.9865,0.9926,0.9792,0.976,0.9761,0.9863,0.9858,0.9864,0.9859,0.9772,0.9791,0.9829,0.9805,0.9838,0.9868,0.9876,0.9754,0.9824,0.9771,0.9753,0.9799,0.9861,0.9929,0.9907,0.9763,0.9714,0.9749,0.9797,0.9863,0.9898,0.9759,0.9779,0.9733,0.9756,0.9751,0.989,0.9885,0.9724,0.9734,0.9667,0.9692,0.9863,0.9831,0.9868,0.9578,0.9567,0.9547,0.9502,0.9493,0.9653,0.9729,0.9604,0.9538,0.9591,0.9523,0.9551,0.9663,0.9749,0.9476,0.9516,0.9433,0.9422,0.9354,0.9522,0.948,0.9485,0.9423,0.9417,0.9352,0.9445,0.9352,0.9385,0.948,0.9342,0.9383,0.9361,0.9212,0.923,0.9402,0.9403,0.9389,0.932,0.9381,0.9187,0.9287,0.9058,0.9234,0.9317,0.9262,0.9241,0.92,0.9152,0.8982,0.9307,0.9289,0.9259,0.9237,0.9161
1,2,0.006,0.0102,0.0075,0.0073,0.0083,0.0091,0.0078,0.0077,0.0035,0.0092,0.0059,0.0088,0.0092,0.01,0.0097,0.0065,0.0083,0.0061,0.0076,0.0073,0.0073,0.0081,0.0041,0.0084,0.009,0.0124,0.0086,0.0078,0.0077,0.0091,0.0083,0.0088,0.0112,0.0083,0.0098,0.0082,0.0058,0.0109,0.0052,0.0076,0.011,0.0115,0.0054,0.0054,0.0091,0.0076,0.0116,0.0066,0.0082,0.0066,0.0021,0.0051,0.0058,0.0074,0.0052,0.0027,0.0038,0.0023,0.0044,0.0039,0.0056,0.0027,0.0042,0.0027,0.0023,0.0033,0.0027,0.0027,0.0022,0.0016,0.0016,0.0027,0.0038,0.0033,0.0028,0.0017,0.0022,0.0023,0.003,0.0034,0.0017,0.0046,0.004,0.0029,0.0023,0.0005,0.0012,0.0032,0.0033,0.0045,0.0021,0.0038,0.0011,0.0038,0.0022,0.0048,0.0033,0.0027,0.0022,0.0016,0.0036,0.0042,0.0071,0.0057,0.0027,0.0037,0.0033,0.0061,0.0025,0.007,0.006,0.0071,0.0059,0.0035,0.0087,0.0067,0.0052,0.0086,0.0052,0.0063,0.0025,0.0067,0.0051,0.0078,0.0063,0.0109,0.0058,0.0072,0.0091,0.0059,0.0057,0.0073,0.0079,0.0072,0.0035,0.0078,0.0074,0.0065,0.0061,0.0099,0.0057,0.0095,0.0066,0.0052,0.0075,0.0084,0.0074,0.0072,0.0101,0.0081,0.0062,0.0076,0.0072,0.0078,0.005,0.0066,0.0068,0.0068,0.0074,0.0065,0.0099
1,3,0.002,0.003,0.0014,0.001,0.0015,0.0024,0.0032,0.0019,0.0035,0.0019,0.002,0.0034,0.0029,0.0024,0.001,0.003,0.0023,0.0028,0.001,0.0029,0.0015,0.0025,0.0015,0.002,0.0024,0.0019,0.0024,0.0024,0.002,0.001,0.0019,0.0015,0.0029,0.0024,0.002,0.002,0.0005,0.0035,0.0024,0.0019,0.0024,0.0033,0.001,0.001,0.001,0.0014,0.0028,0.0019,0.0015,0.001,0,0.0005,0.0011,0.0005,0.0021,0.0011,0,0,0.0011,0.0011,0.0006,0.0016,0.0005,0,0,0.0011,0.0005,0.0011,0,0,0,0,0.0005,0.0005,0.0006,0,0,0,0,0,0,0.0017,0.0006,0.0006,0,0,0,0,0.0011,0.0006,0,0,0,0.0005,0,0,0.0006,0,0,0,0.001,0.0005,0.0005,0.001,0,0.0005,0.0005,0.001,0.001,0.0005,0.001,0.0009,0.0005,0.0005,0.0005,0.0014,0.0024,0.0024,0.0009,0,0.001,0.0014,0.0014,0.0015,0.0024,0.001,0.001,0.001,0.0015,0.003,0.0024,0.0015,0.0005,0.0024,0.0015,0.001,0.0025,0.0023,0.0028,0.0014,0.0019,0.001,0.0019,0.0023,0.0028,0.0009,0.0023,0.001,0.001,0.0019,0.0014,0.0024,0.0029,0.0024,0.0015,0.0011,0.001,0.0031,0.0026,0.0015,0.001
1,4,0.0275,0.0315,0.0275,0.0244,0.0248,0.0234,0.026,0.027,0.0306,0.0241,0.0229,0.0229,0.0238,0.03,0.0292,0.0263,0.0185,0.0217,0.0234,0.0243,0.0269,0.0269,0.0322,0.0221,0.0233,0.0233,0.0254,0.0271,0.0271,0.0259,0.0218,0.0253,0.0278,0.0313,0.0327,0.0297,0.0206,0.0199,0.0312,0.0227,0.0224,0.0225,0.021,0.0224,0.0196,0.027,0.0274,0.0274,0.0262,0.0239,0.0259,0.0158,0.0153,0.0175,0.0156,0.0139,0.0048,0.0051,0.0125,0.0066,0.0107,0.011,0.0099,0.0065,0.0017,0.0088,0.0117,0.0081,0.0044,0.0065,0.0065,0.0049,0.0081,0.0088,0.0072,0.0078,0.0073,0.0086,0.0077,0.0126,0.0068,0.0109,0.0103,0.0086,0.0052,0.0022,0.0046,0.0108,0.0121,0.0106,0.0091,0.0055,0.0057,0.0077,0.0108,0.0101,0.01,0.0108,0.0055,0.006,0.0136,0.0127,0.0111,0.0129,0.0044,0.0053,0.0049,0.0158,0.0199,0.0204,0.0194,0.0218,0.0152,0.012,0.0116,0.0214,0.0166,0.02,0.0194,0.0137,0.0113,0.0211,0.02,0.0239,0.0272,0.0238,0.0198,0.0242,0.0243,0.0252,0.0234,0.0305,0.02,0.0307,0.032,0.0238,0.0282,0.0237,0.0252,0.0279,0.0304,0.0204,0.0237,0.0263,0.028,0.0239,0.0312,0.0251,0.0436,0.0266,0.0266,0.0308,0.0282,0.031,0.0313,0.0377,0.024,0.0298,0.0275,0.0306,0.0307
1,5,0.0095,0.0132,0.0075,0.0093,0.0073,0.0091,0.011,0.0082,0.0105,0.0082,0.0107,0.0078,0.0073,0.0105,0.0122,0.0079,0.0116,0.0099,0.0086,0.0093,0.0112,0.0102,0.0117,0.0049,0.0095,0.0095,0.0096,0.0107,0.0133,0.0107,0.0078,0.0058,0.0088,0.0127,0.0107,0.0108,0.0111,0.006,0.0094,0.0061,0.0062,0.0067,0.0093,0.0068,0.0062,0.0099,0.0125,0.0038,0.0126,0.0087,0.0058,0.0076,0.0085,0.0069,0.0047,0.0043,0.0011,0.0017,0.0022,0.0022,0.0045,0.0038,0.0058,0.0011,0.0011,0.0033,0.0027,0.0043,0.0016,0.0011,0.0027,0.0043,0.0033,0.0038,0.0022,0.0011,0.0022,0.0017,0.0012,0.0034,0.0028,0.0006,0.0029,0.0023,0.0029,0.0022,0.0023,0.0027,0.0049,0.0028,0.0011,0.0016,0.0006,0.0038,0.0032,0.0032,0.0028,0.0054,0.0017,0.0022,0.0036,0.0027,0.005,0.0041,0.0016,0.0037,0.0033,0.0051,0.008,0.0065,0.0075,0.0076,0.0059,0.007,0.0039,0.0067,0.0057,0.0062,0.0061,0.0039,0.0039,0.0072,0.0112,0.0073,0.0092,0.0114,0.0111,0.0093,0.0045,0.0064,0.0086,0.0073,0.0103,0.0134,0.0115,0.0083,0.0119,0.0102,0.0075,0.0109,0.0133,0.0105,0.0062,0.0066,0.0075,0.007,0.0106,0.0096,0.0122,0.01,0.0085,0.0099,0.0115,0.0102,0.0136,0.0126,0.0104,0.0094,0.0095,0.0085,0.0099
1,6,0.0035,0.0041,0.0023,0.0034,0.0049,0.0029,0.0046,0.0034,0.003,0.0058,0.0024,0.0019,0.0039,0.0038,0.0034,0.0045,0.0032,0.0033,0.0038,0.0024,0.0044,0.0031,0.001,0.0034,0.0048,0.0043,0.0033,0.0053,0.0031,0.0025,0.0063,0.0024,0.002,0.0034,0.0034,0.0015,0.0032,0.0025,0.0014,0.0019,0.0014,0.0033,0.001,0.0019,0.0029,0.0043,0.0033,0.0043,0.0044,0.0036,0,0.0031,0.0026,0.0027,0.0031,0.0011,0.0005,0.0006,0.0016,0.0017,0.0006,0.0016,0,0.0005,0.0006,0.0011,0,0.0016,0.0016,0.0011,0,0,0.0011,0.0005,0.0022,0.0028,0.0006,0.0006,0,0.0006,0.0006,0,0.0006,0.0006,0,0,0,0.0005,0,0.0006,0.0011,0,0,0.0022,0.0011,0.0032,0.0006,0,0,0.0005,0,0,0.002,0,0,0,0,0.001,0.001,0.002,0.001,0.0019,0.001,0.001,0.0043,0.0005,0.001,0.0024,0.0014,0.001,0.0015,0.0005,0.0009,0.001,0.001,0.0019,0.0014,0.0005,0.001,0.003,0.0019,0.0015,0.0023,0.0014,0.003,0.0005,0.002,0.0019,0.0042,0.0028,0.0024,0.0015,0.0024,0.0028,0.0019,0.0023,0.0023,0.0039,0.0046,0.0029,0.0038,0.0019,0.0029,0.0015,0.0025,0.0049,0.0026,0.0016,0.0037,0.004,0.0026
1,7,0.0095,0.0107,0.007,0.0078,0.0058,0.0086,0.0073,0.0116,0.0105,0.0087,0.0054,0.0054,0.0131,0.0071,0.0092,0.006,0.0051,0.0061,0.0072,0.0097,0.0088,0.0102,0.0153,0.0074,0.0057,0.0057,0.0086,0.0082,0.0072,0.0112,0.0068,0.0054,0.0054,0.0083,0.0049,0.0077,0.0079,0.007,0.0071,0.0057,0.0048,0.0043,0.0073,0.0078,0.0057,0.0066,0.007,0.008,0.0073,0.0087,0.0074,0.0056,0.0026,0.0016,0.0021,0.0021,0.0016,0.0006,0.0033,0.0022,0.0017,0.0011,0.0021,0.0011,0,0.0011,0.0021,0.0027,0.0022,0.0016,0.0011,0,0.0038,0.0022,0.0011,0.0017,0.0022,0,0,0.0017,0.0028,0.0023,0.0017,0.0012,0.0017,0,0.0006,0.0027,0.0033,0.0022,0.0021,0.0016,0.0011,0.0027,0.0027,0.0032,0.0028,0.0022,0.0006,0,0.0026,0.0016,0.003,0.0031,0.0033,0.0026,0,0.0036,0.003,0.0035,0.0045,0.0047,0.002,0.001,0.0029,0.0033,0.0024,0.0038,0.0043,0.0039,0.0015,0.0058,0.0028,0.0049,0.0053,0.0062,0.0019,0.001,0.004,0.0044,0.0043,0.0058,0.0037,0.0024,0.0025,0.0044,0.005,0.0032,0.0075,0.0071,0.0076,0.007,0.0062,0.0047,0.0065,0.0056,0.0129,0.0077,0.0076,0.0076,0.0095,0.0071,0.0072,0.0068,0.0111,0.0153,0.0089,0.0084,0.0106,0.0065,0.0094
1,8,0.0005,0,0,0,0,0,0.0005,0.0005,0,0,0,0.0005,0,0,0.0005,0.0005,0.0005,0,0,0.001,0.0005,0.0005,0.0005,0,0,0.0005,0.0005,0.0005,0.0005,0,0,0.0005,0.001,0.0005,0,0.0005,0,0,0,0,0,0.0005,0,0,0,0.0005,0.0005,0.0009,0,0.001,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0.0005,0,0.0005,0.001,0,0.0009,0.0005,0.0005,0,0.0005,0,0.0005,0,0,0,0,0.0005,0.001,0.0005,0,0.001,0,0.0005,0.0005
1,9,0.0025,0.001,0,0.0005,0.0005,0.0005,0.0014,0.0019,0.0015,0,0.0015,0,0.0005,0.0005,0.0029,0.0015,0.0005,0.0014,0,0,0.0034,0.002,0.0005,0.0005,0.001,0.001,0.0005,0.0039,0.0046,0.0015,0.0005,0.001,0,0.001,0.0029,0.0026,0.0042,0.002,0.0005,0.0009,0.001,0.0029,0.002,0.0015,0,0.0028,0.0009,0.0014,0.001,0.0015,0.0021,0,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0006,0,0,0,0,0.0005,0,0,0.0005,0,0,0.0005,0.0005,0,0.0005,0,0.0005,0,0.0005,0.0005,0,0,0,0,0,0,0.0005,0.0005,0.0005,0,0.0005,0,0,0.0005,0.0005,0.0005,0,0.0005,0,0.0005,0.0005,0.0014,0.0019,0.0038,0.0038,0.0005,0,0.0023,0.0009,0.0023,0.0032,0.0058,0.0015,0.0038,0.0014,0.0009,0.001,0.0048,0.0045,0.0071,0.0021,0.0016,0.0032,0.0025,0.0042
1,10,0.001,0.002,0.0005,0,0.0005,0.0024,0.0018,0.001,0.0015,0.0005,0.001,0.001,0,0.0019,0.0015,0.0025,0.0009,0.0005,0.0024,0.0005,0.0015,0,0.0031,0,0.0005,0.001,0.0005,0.0015,0.001,0.0015,0.001,0,0.001,0.0005,0.0005,0.0015,0.0016,0,0.0009,0.0005,0.0005,0.0019,0.0005,0.0015,0.0005,0.0014,0.0005,0.0005,0.001,0.0005,0.0021,0,0,0,0,0.0005,0,0,0,0.0006,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0.0005,0,0.0006,0,0,0,0,0,0.0006,0,0,0,0.0005,0,0.0005,0.0005,0,0.0005,0,0.0006,0,0,0,0,0,0,0.0005,0,0.0005,0.0005,0.0005,0,0,0.0005,0,0,0,0.0015,0.0005,0,0.0005,0.001,0.001,0.0005,0,0,0,0.0005,0.0005,0.0005,0.001,0,0,0.0005,0.0005,0,0.001,0,0.0005,0.0005,0.0005,0,0,0,0.0019,0.0005,0.0019,0.001,0.0005,0,0,0.0005,0.0009,0.0005,0.0005,0.0005,0.001,0,0.0009,0.001,0.0005,0.0005,0.0016,0.0005,0.0005,0.0011,0.0005,0.0005
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0.0005,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
